id,treatment,microbiome,value,shortform_biocrates,MATCH_NAME 
exGF17,AngII,COL,1.16,ADMA,Asymmetric dimethylarginine
exGF18,AngII,COL,1.17,ADMA,Asymmetric dimethylarginine
exGF19,AngII,COL,0.871,ADMA,Asymmetric dimethylarginine
GF07,AngII,GF,1.09,ADMA,Asymmetric dimethylarginine
GF08,AngII,GF,1.3,ADMA,Asymmetric dimethylarginine
GF09,AngII,GF,1.23,ADMA,Asymmetric dimethylarginine
GF10,AngII,GF,1.33,ADMA,Asymmetric dimethylarginine
GF15,AngII,GF,1.44,ADMA,Asymmetric dimethylarginine
GF16,AngII,GF,0.751,ADMA,Asymmetric dimethylarginine
GF17,AngII,GF,1.53,ADMA,Asymmetric dimethylarginine
GF19,AngII,GF,1.05,ADMA,Asymmetric dimethylarginine
GF20,AngII,GF,1.21,ADMA,Asymmetric dimethylarginine
GF21,AngII,GF,1.37,ADMA,Asymmetric dimethylarginine
GF22,AngII,GF,1.22,ADMA,Asymmetric dimethylarginine
sexGF1,Sham,COL,0.836,ADMA,Asymmetric dimethylarginine
sexGF2,Sham,COL,0.917,ADMA,Asymmetric dimethylarginine
sexGF3,Sham,COL,0.711,ADMA,Asymmetric dimethylarginine
sexGF4,Sham,COL,0.898,ADMA,Asymmetric dimethylarginine
sexGF5,Sham,COL,0.882,ADMA,Asymmetric dimethylarginine
sGF1,Sham,GF,1.21,ADMA,Asymmetric dimethylarginine
sGF2,Sham,GF,1.36,ADMA,Asymmetric dimethylarginine
sGF3,Sham,GF,1.33,ADMA,Asymmetric dimethylarginine
sGF4,Sham,GF,1.31,ADMA,Asymmetric dimethylarginine
sGF5,Sham,GF,1.23,ADMA,Asymmetric dimethylarginine
exGF06,AngII,COL,496,Ala,alanine
exGF07,AngII,COL,547,Ala,alanine
exGF09,AngII,COL,511,Ala,alanine
exGF10,AngII,COL,539,Ala,alanine
exGF11,AngII,COL,642,Ala,alanine
exGF12,AngII,COL,597,Ala,alanine
exGF13,AngII,COL,500,Ala,alanine
exGF14,AngII,COL,654,Ala,alanine
exGF16,AngII,COL,390,Ala,alanine
exGF17,AngII,COL,539,Ala,alanine
exGF18,AngII,COL,489,Ala,alanine
exGF19,AngII,COL,548,Ala,alanine
GF07,AngII,GF,482,Ala,alanine
GF08,AngII,GF,440,Ala,alanine
GF09,AngII,GF,621,Ala,alanine
GF10,AngII,GF,528,Ala,alanine
GF15,AngII,GF,558,Ala,alanine
GF16,AngII,GF,996,Ala,alanine
GF17,AngII,GF,906,Ala,alanine
GF19,AngII,GF,492,Ala,alanine
GF20,AngII,GF,461,Ala,alanine
GF21,AngII,GF,664,Ala,alanine
GF22,AngII,GF,430,Ala,alanine
sexGF1,Sham,COL,408,Ala,alanine
sexGF2,Sham,COL,428,Ala,alanine
sexGF3,Sham,COL,316,Ala,alanine
sexGF4,Sham,COL,432,Ala,alanine
sexGF5,Sham,COL,450,Ala,alanine
sGF1,Sham,GF,401,Ala,alanine
sGF2,Sham,GF,401,Ala,alanine
sGF3,Sham,GF,560,Ala,alanine
sGF4,Sham,GF,480,Ala,alanine
sGF5,Sham,GF,495,Ala,alanine
exGF06,AngII,COL,254,Arg,arginine
exGF07,AngII,COL,272,Arg,arginine
exGF09,AngII,COL,242,Arg,arginine
exGF10,AngII,COL,261,Arg,arginine
exGF11,AngII,COL,245,Arg,arginine
exGF12,AngII,COL,135,Arg,arginine
exGF13,AngII,COL,178,Arg,arginine
exGF14,AngII,COL,274,Arg,arginine
exGF16,AngII,COL,196,Arg,arginine
exGF17,AngII,COL,210,Arg,arginine
exGF18,AngII,COL,166,Arg,arginine
exGF19,AngII,COL,239,Arg,arginine
GF07,AngII,GF,208,Arg,arginine
GF08,AngII,GF,267,Arg,arginine
GF09,AngII,GF,157,Arg,arginine
GF10,AngII,GF,241,Arg,arginine
GF15,AngII,GF,211,Arg,arginine
GF16,AngII,GF,179,Arg,arginine
GF17,AngII,GF,225,Arg,arginine
GF19,AngII,GF,53,Arg,arginine
GF20,AngII,GF,176,Arg,arginine
GF21,AngII,GF,245,Arg,arginine
GF22,AngII,GF,180,Arg,arginine
sexGF1,Sham,COL,123,Arg,arginine
sexGF2,Sham,COL,142,Arg,arginine
sexGF3,Sham,COL,129,Arg,arginine
sexGF4,Sham,COL,136,Arg,arginine
sexGF5,Sham,COL,94.9,Arg,arginine
sGF1,Sham,GF,175,Arg,arginine
sGF2,Sham,GF,197,Arg,arginine
sGF3,Sham,GF,225,Arg,arginine
sGF4,Sham,GF,220,Arg,arginine
sGF5,Sham,GF,215,Arg,arginine
exGF06,AngII,COL,52.2,Asn,asparagine
exGF07,AngII,COL,48.9,Asn,asparagine
exGF09,AngII,COL,49.4,Asn,asparagine
exGF10,AngII,COL,52.1,Asn,asparagine
exGF11,AngII,COL,58,Asn,asparagine
exGF12,AngII,COL,63.4,Asn,asparagine
exGF13,AngII,COL,48.4,Asn,asparagine
exGF14,AngII,COL,65.1,Asn,asparagine
exGF16,AngII,COL,44.8,Asn,asparagine
exGF17,AngII,COL,57.3,Asn,asparagine
exGF18,AngII,COL,63.5,Asn,asparagine
exGF19,AngII,COL,71.9,Asn,asparagine
GF07,AngII,GF,35.9,Asn,asparagine
GF08,AngII,GF,36.9,Asn,asparagine
GF09,AngII,GF,51.2,Asn,asparagine
GF10,AngII,GF,39.7,Asn,asparagine
GF15,AngII,GF,62.8,Asn,asparagine
GF16,AngII,GF,133,Asn,asparagine
GF17,AngII,GF,89.2,Asn,asparagine
GF19,AngII,GF,41.9,Asn,asparagine
GF20,AngII,GF,45.4,Asn,asparagine
GF21,AngII,GF,58.8,Asn,asparagine
GF22,AngII,GF,43.5,Asn,asparagine
sexGF1,Sham,COL,41.8,Asn,asparagine
sexGF2,Sham,COL,51.1,Asn,asparagine
sexGF3,Sham,COL,32.4,Asn,asparagine
sexGF4,Sham,COL,41.5,Asn,asparagine
sexGF5,Sham,COL,39.5,Asn,asparagine
sGF1,Sham,GF,52.7,Asn,asparagine
sGF2,Sham,GF,53.5,Asn,asparagine
sGF3,Sham,GF,68.5,Asn,asparagine
sGF4,Sham,GF,68.7,Asn,asparagine
sGF5,Sham,GF,64.3,Asn,asparagine
exGF06,AngII,COL,27.4,Asp,aspartate
exGF07,AngII,COL,17.3,Asp,aspartate
exGF09,AngII,COL,23.7,Asp,aspartate
exGF10,AngII,COL,24.3,Asp,aspartate
exGF11,AngII,COL,30.3,Asp,aspartate
exGF12,AngII,COL,14.9,Asp,aspartate
exGF13,AngII,COL,23.5,Asp,aspartate
exGF14,AngII,COL,33.7,Asp,aspartate
exGF16,AngII,COL,27.2,Asp,aspartate
exGF17,AngII,COL,33.7,Asp,aspartate
exGF18,AngII,COL,23.7,Asp,aspartate
exGF19,AngII,COL,38.7,Asp,aspartate
GF07,AngII,GF,34.5,Asp,aspartate
GF08,AngII,GF,89,Asp,aspartate
GF09,AngII,GF,22.6,Asp,aspartate
GF10,AngII,GF,20.4,Asp,aspartate
GF15,AngII,GF,29,Asp,aspartate
GF16,AngII,GF,30.2,Asp,aspartate
GF17,AngII,GF,39.7,Asp,aspartate
GF19,AngII,GF,34.4,Asp,aspartate
GF20,AngII,GF,20.2,Asp,aspartate
GF21,AngII,GF,24.4,Asp,aspartate
GF22,AngII,GF,22.4,Asp,aspartate
sexGF1,Sham,COL,20.7,Asp,aspartate
sexGF2,Sham,COL,17.5,Asp,aspartate
sexGF3,Sham,COL,17.9,Asp,aspartate
sexGF4,Sham,COL,18.6,Asp,aspartate
sexGF5,Sham,COL,23.9,Asp,aspartate
sGF1,Sham,GF,86.5,Asp,aspartate
sGF2,Sham,GF,73.2,Asp,aspartate
sGF3,Sham,GF,77.8,Asp,aspartate
sGF4,Sham,GF,65.2,Asp,aspartate
sGF5,Sham,GF,72.7,Asp,aspartate
exGF06,AngII,COL,10.3,beta-Ala,NA
exGF07,AngII,COL,7.89,beta-Ala,NA
exGF09,AngII,COL,10.1,beta-Ala,NA
exGF10,AngII,COL,10.6,beta-Ala,NA
exGF11,AngII,COL,11.4,beta-Ala,NA
exGF12,AngII,COL,5.32,beta-Ala,NA
exGF13,AngII,COL,7.67,beta-Ala,NA
exGF14,AngII,COL,11.3,beta-Ala,NA
exGF16,AngII,COL,8.6,beta-Ala,NA
exGF17,AngII,COL,12,beta-Ala,NA
exGF18,AngII,COL,4.48,beta-Ala,NA
exGF19,AngII,COL,6.27,beta-Ala,NA
GF07,AngII,GF,13.8,beta-Ala,NA
GF08,AngII,GF,16.1,beta-Ala,NA
GF09,AngII,GF,6.94,beta-Ala,NA
GF10,AngII,GF,13,beta-Ala,NA
GF15,AngII,GF,8.07,beta-Ala,NA
GF16,AngII,GF,5.81,beta-Ala,NA
GF17,AngII,GF,8.74,beta-Ala,NA
GF19,AngII,GF,10.1,beta-Ala,NA
GF20,AngII,GF,7.93,beta-Ala,NA
GF21,AngII,GF,7.62,beta-Ala,NA
GF22,AngII,GF,7.49,beta-Ala,NA
sexGF1,Sham,COL,8.81,beta-Ala,NA
sexGF2,Sham,COL,8.34,beta-Ala,NA
sexGF3,Sham,COL,6.84,beta-Ala,NA
sexGF4,Sham,COL,7.07,beta-Ala,NA
sexGF5,Sham,COL,6.91,beta-Ala,NA
sGF1,Sham,GF,10.4,beta-Ala,NA
sGF2,Sham,GF,10.8,beta-Ala,NA
sGF3,Sham,GF,10.6,beta-Ala,NA
sGF4,Sham,GF,10.2,beta-Ala,NA
sGF5,Sham,GF,9.3,beta-Ala,NA
exGF06,AngII,COL,39,Betaine,betaine
exGF07,AngII,COL,41.1,Betaine,betaine
exGF09,AngII,COL,52.2,Betaine,betaine
exGF10,AngII,COL,76.6,Betaine,betaine
exGF11,AngII,COL,74.8,Betaine,betaine
exGF12,AngII,COL,58.9,Betaine,betaine
exGF13,AngII,COL,56.7,Betaine,betaine
exGF14,AngII,COL,73.4,Betaine,betaine
exGF16,AngII,COL,40.2,Betaine,betaine
exGF17,AngII,COL,52.5,Betaine,betaine
exGF18,AngII,COL,54.2,Betaine,betaine
exGF19,AngII,COL,80.5,Betaine,betaine
GF07,AngII,GF,42.1,Betaine,betaine
GF08,AngII,GF,41.3,Betaine,betaine
GF09,AngII,GF,61.9,Betaine,betaine
GF10,AngII,GF,65,Betaine,betaine
GF15,AngII,GF,39.7,Betaine,betaine
GF16,AngII,GF,,Betaine,betaine
GF17,AngII,GF,51.8,Betaine,betaine
GF19,AngII,GF,48.8,Betaine,betaine
GF20,AngII,GF,35.2,Betaine,betaine
GF21,AngII,GF,54.8,Betaine,betaine
GF22,AngII,GF,39.8,Betaine,betaine
sexGF1,Sham,COL,39.4,Betaine,betaine
sexGF2,Sham,COL,39.4,Betaine,betaine
sexGF3,Sham,COL,31.8,Betaine,betaine
sexGF4,Sham,COL,36.2,Betaine,betaine
sexGF5,Sham,COL,46,Betaine,betaine
sGF1,Sham,GF,34.3,Betaine,betaine
sGF2,Sham,GF,35.9,Betaine,betaine
sGF3,Sham,GF,63.8,Betaine,betaine
sGF4,Sham,GF,50.5,Betaine,betaine
sGF5,Sham,GF,50.7,Betaine,betaine
exGF06,AngII,COL,9.05,C2,Acetylcarnitine
exGF07,AngII,COL,10.6,C2,Acetylcarnitine
exGF09,AngII,COL,17.1,C2,Acetylcarnitine
exGF10,AngII,COL,13,C2,Acetylcarnitine
exGF11,AngII,COL,13.5,C2,Acetylcarnitine
exGF12,AngII,COL,16.1,C2,Acetylcarnitine
exGF13,AngII,COL,18.6,C2,Acetylcarnitine
exGF14,AngII,COL,18,C2,Acetylcarnitine
exGF16,AngII,COL,11.3,C2,Acetylcarnitine
exGF17,AngII,COL,14.5,C2,Acetylcarnitine
exGF18,AngII,COL,11.2,C2,Acetylcarnitine
exGF19,AngII,COL,13,C2,Acetylcarnitine
GF07,AngII,GF,14.9,C2,Acetylcarnitine
GF08,AngII,GF,13.5,C2,Acetylcarnitine
GF09,AngII,GF,18.2,C2,Acetylcarnitine
GF10,AngII,GF,13.3,C2,Acetylcarnitine
GF15,AngII,GF,23.7,C2,Acetylcarnitine
GF16,AngII,GF,21.4,C2,Acetylcarnitine
GF17,AngII,GF,17.6,C2,Acetylcarnitine
GF19,AngII,GF,13.2,C2,Acetylcarnitine
GF20,AngII,GF,15.5,C2,Acetylcarnitine
GF21,AngII,GF,14.9,C2,Acetylcarnitine
GF22,AngII,GF,18.5,C2,Acetylcarnitine
sGF1,Sham,GF,17,C2,Acetylcarnitine
sGF2,Sham,GF,20.1,C2,Acetylcarnitine
sGF3,Sham,GF,15.9,C2,Acetylcarnitine
sGF4,Sham,GF,16.4,C2,Acetylcarnitine
sGF5,Sham,GF,15.9,C2,Acetylcarnitine
sexGF1,Sham,COL,16.3,C2,Acetylcarnitine
sexGF2,Sham,COL,15.2,C2,Acetylcarnitine
sexGF3,Sham,COL,15.6,C2,Acetylcarnitine
sexGF4,Sham,COL,13,C2,Acetylcarnitine
sexGF5,Sham,COL,13.2,C2,Acetylcarnitine
exGF06,AngII,COL,0.278,C3,Propionylcarnitine
exGF07,AngII,COL,0.358,C3,Propionylcarnitine
exGF09,AngII,COL,0.536,C3,Propionylcarnitine
exGF10,AngII,COL,0.509,C3,Propionylcarnitine
exGF11,AngII,COL,0.532,C3,Propionylcarnitine
exGF12,AngII,COL,0.703,C3,Propionylcarnitine
exGF13,AngII,COL,0.891,C3,Propionylcarnitine
exGF14,AngII,COL,0.558,C3,Propionylcarnitine
exGF16,AngII,COL,0.348,C3,Propionylcarnitine
exGF17,AngII,COL,0.373,C3,Propionylcarnitine
exGF18,AngII,COL,0.397,C3,Propionylcarnitine
exGF19,AngII,COL,0.775,C3,Propionylcarnitine
GF07,AngII,GF,0.298,C3,Propionylcarnitine
GF08,AngII,GF,0.29,C3,Propionylcarnitine
GF09,AngII,GF,1.26,C3,Propionylcarnitine
GF10,AngII,GF,0.263,C3,Propionylcarnitine
GF15,AngII,GF,0.617,C3,Propionylcarnitine
GF16,AngII,GF,1.26,C3,Propionylcarnitine
GF17,AngII,GF,0.459,C3,Propionylcarnitine
GF19,AngII,GF,0.302,C3,Propionylcarnitine
GF20,AngII,GF,0.267,C3,Propionylcarnitine
GF21,AngII,GF,0.395,C3,Propionylcarnitine
GF22,AngII,GF,0.353,C3,Propionylcarnitine
sGF1,Sham,GF,0.346,C3,Propionylcarnitine
sGF2,Sham,GF,0.451,C3,Propionylcarnitine
sGF3,Sham,GF,0.671,C3,Propionylcarnitine
sGF4,Sham,GF,0.393,C3,Propionylcarnitine
sGF5,Sham,GF,0.638,C3,Propionylcarnitine
sexGF1,Sham,COL,0.913,C3,Propionylcarnitine
sexGF2,Sham,COL,0.513,C3,Propionylcarnitine
sexGF3,Sham,COL,0.646,C3,Propionylcarnitine
sexGF4,Sham,COL,0.428,C3,Propionylcarnitine
sexGF5,Sham,COL,0.565,C3,Propionylcarnitine
exGF06,AngII,COL,0.213,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF07,AngII,COL,0.164,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF09,AngII,COL,0.143,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF10,AngII,COL,0.151,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF11,AngII,COL,0.137,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF12,AngII,COL,0.074,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF13,AngII,COL,0.133,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF14,AngII,COL,0.114,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF16,AngII,COL,0.121,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF17,AngII,COL,0.098,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF18,AngII,COL,0.185,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF19,AngII,COL,0.174,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF07,AngII,GF,0.143,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF08,AngII,GF,0.154,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF09,AngII,GF,0.101,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF10,AngII,GF,0.167,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF15,AngII,GF,0.115,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF16,AngII,GF,0.119,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF17,AngII,GF,0.109,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF19,AngII,GF,0.152,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF20,AngII,GF,0.102,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF21,AngII,GF,0.177,Cer(d18:1/16:0),Cer(d18:1/16:0)
GF22,AngII,GF,0.122,Cer(d18:1/16:0),Cer(d18:1/16:0)
sGF1,Sham,GF,0.062,Cer(d18:1/16:0),Cer(d18:1/16:0)
sGF2,Sham,GF,0.064,Cer(d18:1/16:0),Cer(d18:1/16:0)
sGF3,Sham,GF,0.075,Cer(d18:1/16:0),Cer(d18:1/16:0)
sGF4,Sham,GF,0.079,Cer(d18:1/16:0),Cer(d18:1/16:0)
sGF5,Sham,GF,0.065,Cer(d18:1/16:0),Cer(d18:1/16:0)
sexGF1,Sham,COL,0.102,Cer(d18:1/16:0),Cer(d18:1/16:0)
sexGF2,Sham,COL,0.082,Cer(d18:1/16:0),Cer(d18:1/16:0)
sexGF3,Sham,COL,0.081,Cer(d18:1/16:0),Cer(d18:1/16:0)
sexGF4,Sham,COL,0.086,Cer(d18:1/16:0),Cer(d18:1/16:0)
sexGF5,Sham,COL,0.073,Cer(d18:1/16:0),Cer(d18:1/16:0)
exGF06,AngII,COL,0.762,Cer(d18:1/22:0),NA
exGF07,AngII,COL,0.642,Cer(d18:1/22:0),NA
exGF09,AngII,COL,0.757,Cer(d18:1/22:0),NA
exGF10,AngII,COL,0.697,Cer(d18:1/22:0),NA
exGF11,AngII,COL,0.784,Cer(d18:1/22:0),NA
exGF12,AngII,COL,0.795,Cer(d18:1/22:0),NA
exGF13,AngII,COL,0.951,Cer(d18:1/22:0),NA
exGF14,AngII,COL,0.962,Cer(d18:1/22:0),NA
exGF16,AngII,COL,0.542,Cer(d18:1/22:0),NA
exGF17,AngII,COL,0.701,Cer(d18:1/22:0),NA
exGF18,AngII,COL,0.287,Cer(d18:1/22:0),NA
exGF19,AngII,COL,0.388,Cer(d18:1/22:0),NA
GF07,AngII,GF,0.541,Cer(d18:1/22:0),NA
GF08,AngII,GF,0.471,Cer(d18:1/22:0),NA
GF09,AngII,GF,0.197,Cer(d18:1/22:0),NA
GF10,AngII,GF,0.456,Cer(d18:1/22:0),NA
GF15,AngII,GF,0.407,Cer(d18:1/22:0),NA
GF16,AngII,GF,0.334,Cer(d18:1/22:0),NA
GF17,AngII,GF,0.456,Cer(d18:1/22:0),NA
GF19,AngII,GF,0.648,Cer(d18:1/22:0),NA
GF20,AngII,GF,0.584,Cer(d18:1/22:0),NA
GF21,AngII,GF,0.617,Cer(d18:1/22:0),NA
GF22,AngII,GF,0.65,Cer(d18:1/22:0),NA
sGF1,Sham,GF,0.491,Cer(d18:1/22:0),NA
sGF2,Sham,GF,0.483,Cer(d18:1/22:0),NA
sGF3,Sham,GF,0.617,Cer(d18:1/22:0),NA
sGF4,Sham,GF,0.569,Cer(d18:1/22:0),NA
sGF5,Sham,GF,0.536,Cer(d18:1/22:0),NA
sexGF1,Sham,COL,0.845,Cer(d18:1/22:0),NA
sexGF2,Sham,COL,0.752,Cer(d18:1/22:0),NA
sexGF3,Sham,COL,0.777,Cer(d18:1/22:0),NA
sexGF4,Sham,COL,0.771,Cer(d18:1/22:0),NA
sexGF5,Sham,COL,0.72,Cer(d18:1/22:0),NA
exGF06,AngII,COL,0.517,Cer(d18:1/23:0),NA
exGF07,AngII,COL,0.438,Cer(d18:1/23:0),NA
exGF09,AngII,COL,0.389,Cer(d18:1/23:0),NA
exGF10,AngII,COL,0.327,Cer(d18:1/23:0),NA
exGF11,AngII,COL,0.339,Cer(d18:1/23:0),NA
exGF12,AngII,COL,0.225,Cer(d18:1/23:0),NA
exGF13,AngII,COL,0.435,Cer(d18:1/23:0),NA
exGF14,AngII,COL,0.318,Cer(d18:1/23:0),NA
exGF16,AngII,COL,0.415,Cer(d18:1/23:0),NA
exGF17,AngII,COL,0.367,Cer(d18:1/23:0),NA
exGF18,AngII,COL,0.249,Cer(d18:1/23:0),NA
exGF19,AngII,COL,0.38,Cer(d18:1/23:0),NA
GF07,AngII,GF,0.49,Cer(d18:1/23:0),NA
GF08,AngII,GF,0.479,Cer(d18:1/23:0),NA
GF09,AngII,GF,0.181,Cer(d18:1/23:0),NA
GF10,AngII,GF,0.449,Cer(d18:1/23:0),NA
GF15,AngII,GF,0.408,Cer(d18:1/23:0),NA
GF16,AngII,GF,0.385,Cer(d18:1/23:0),NA
GF17,AngII,GF,0.338,Cer(d18:1/23:0),NA
GF19,AngII,GF,0.455,Cer(d18:1/23:0),NA
GF20,AngII,GF,0.432,Cer(d18:1/23:0),NA
GF21,AngII,GF,0.469,Cer(d18:1/23:0),NA
GF22,AngII,GF,0.471,Cer(d18:1/23:0),NA
sGF1,Sham,GF,0.225,Cer(d18:1/23:0),NA
sGF2,Sham,GF,0.265,Cer(d18:1/23:0),NA
sGF3,Sham,GF,0.267,Cer(d18:1/23:0),NA
sGF4,Sham,GF,0.311,Cer(d18:1/23:0),NA
sGF5,Sham,GF,0.329,Cer(d18:1/23:0),NA
sexGF1,Sham,COL,0.331,Cer(d18:1/23:0),NA
sexGF2,Sham,COL,0.293,Cer(d18:1/23:0),NA
sexGF3,Sham,COL,0.23,Cer(d18:1/23:0),NA
sexGF4,Sham,COL,0.336,Cer(d18:1/23:0),NA
sexGF5,Sham,COL,0.313,Cer(d18:1/23:0),NA
exGF06,AngII,COL,2.1,Cer(d18:1/24:1),NA
exGF07,AngII,COL,1.48,Cer(d18:1/24:1),NA
exGF09,AngII,COL,1.42,Cer(d18:1/24:1),NA
exGF10,AngII,COL,1.37,Cer(d18:1/24:1),NA
exGF11,AngII,COL,1.36,Cer(d18:1/24:1),NA
exGF12,AngII,COL,0.901,Cer(d18:1/24:1),NA
exGF13,AngII,COL,1.35,Cer(d18:1/24:1),NA
exGF14,AngII,COL,1.33,Cer(d18:1/24:1),NA
exGF16,AngII,COL,1.11,Cer(d18:1/24:1),NA
exGF17,AngII,COL,1.08,Cer(d18:1/24:1),NA
exGF18,AngII,COL,1.29,Cer(d18:1/24:1),NA
exGF19,AngII,COL,1.69,Cer(d18:1/24:1),NA
GF07,AngII,GF,1.21,Cer(d18:1/24:1),NA
GF08,AngII,GF,1.32,Cer(d18:1/24:1),NA
GF09,AngII,GF,0.46,Cer(d18:1/24:1),NA
GF10,AngII,GF,1.05,Cer(d18:1/24:1),NA
GF15,AngII,GF,0.961,Cer(d18:1/24:1),NA
GF16,AngII,GF,0.399,Cer(d18:1/24:1),NA
GF17,AngII,GF,0.944,Cer(d18:1/24:1),NA
GF19,AngII,GF,1.2,Cer(d18:1/24:1),NA
GF20,AngII,GF,0.994,Cer(d18:1/24:1),NA
GF21,AngII,GF,1.36,Cer(d18:1/24:1),NA
GF22,AngII,GF,1.42,Cer(d18:1/24:1),NA
sGF1,Sham,GF,0.582,Cer(d18:1/24:1),NA
sGF2,Sham,GF,0.538,Cer(d18:1/24:1),NA
sGF3,Sham,GF,0.604,Cer(d18:1/24:1),NA
sGF4,Sham,GF,0.661,Cer(d18:1/24:1),NA
sGF5,Sham,GF,0.555,Cer(d18:1/24:1),NA
sexGF1,Sham,COL,0.879,Cer(d18:1/24:1),NA
sexGF2,Sham,COL,0.839,Cer(d18:1/24:1),NA
sexGF3,Sham,COL,1.03,Cer(d18:1/24:1),NA
sexGF4,Sham,COL,0.951,Cer(d18:1/24:1),NA
sexGF5,Sham,COL,0.926,Cer(d18:1/24:1),NA
exGF06,AngII,COL,104,Cit,citrulline
exGF07,AngII,COL,101,Cit,citrulline
exGF09,AngII,COL,96.1,Cit,citrulline
exGF10,AngII,COL,94.4,Cit,citrulline
exGF11,AngII,COL,103,Cit,citrulline
exGF12,AngII,COL,49.6,Cit,citrulline
exGF13,AngII,COL,59.4,Cit,citrulline
exGF14,AngII,COL,98.6,Cit,citrulline
exGF16,AngII,COL,84.5,Cit,citrulline
exGF17,AngII,COL,92.6,Cit,citrulline
exGF18,AngII,COL,99.2,Cit,citrulline
exGF19,AngII,COL,91.8,Cit,citrulline
GF07,AngII,GF,97.9,Cit,citrulline
GF08,AngII,GF,106,Cit,citrulline
GF09,AngII,GF,194,Cit,citrulline
GF10,AngII,GF,119,Cit,citrulline
GF15,AngII,GF,128,Cit,citrulline
GF16,AngII,GF,69.2,Cit,citrulline
GF17,AngII,GF,164,Cit,citrulline
GF19,AngII,GF,82.5,Cit,citrulline
GF20,AngII,GF,105,Cit,citrulline
GF21,AngII,GF,138,Cit,citrulline
GF22,AngII,GF,94.9,Cit,citrulline
sexGF1,Sham,COL,50.6,Cit,citrulline
sexGF2,Sham,COL,51.3,Cit,citrulline
sexGF3,Sham,COL,42.5,Cit,citrulline
sexGF4,Sham,COL,55.8,Cit,citrulline
