ID,treatment,microbiome,1-Methylhistidine,3-Methylhistidine,Acetylcarnitine,Alanine,alpha-Aminoadipic acid,Alpha-Aminobutyric acid,Arachidonic acid,Arginine,Asparagine,Aspartic Acid,Asymmetric dimethylarginine,Betaine,Butyrylcarnitine,Carnitine,Carnosine,Ceramide(d18:1/16:0),Choline,Citrulline,Cysteine,Cystine,Decanoylcarnitine,Diacylglyceride(16:0_18:2),Diacylglyceride(16:1_18:2),Diacylglyceride(18:1_18:1),Diacylglyceride(18:1_18:2),Diacylglyceride(18:2_18:2),Diacylglyceride(18:2_18:3),Diacylglyceride(18:2_20:4),Docosahexaenoic acid,Eicosadienoic acid,Eicosapentaenoic acid,Eicosatrienoic acid,Eicosenoic acid,Glutamic Acid,Glutamine,Glycine,Hexadecanoylcarnitine,Hexanoylcarnitine (Fumarylcarnitine),Hexose,Histamine,Histidine,Homoarginine,Hypoxanthine,Indoxyl sulfate,Isoleucine,Kynurenine,L-Anserine,Lactic acid,Leucine,Lysine,Lysophosphatidylcholine a C16:0,Lysophosphatidylcholine a C16:1,Lysophosphatidylcholine a C18:0,Lysophosphatidylcholine a C18:1,Lysophosphatidylcholine a C18:2,Lysophosphatidylcholine a C20:4,Lysophosphatidylcholine a C24:0,Malonylcarnitine (Hydroxybutyrylcarnitine),Methionine,Methionine-Sulfoxide,Octadecadienoate,Octadecadienylcarnitine,Octadecanoylcarnitine,Octadecenoylcarnitine,Ornithine,Phenylalanine,Phosphatidylcholine aa C30:0,Phosphatidylcholine aa C32:0,Phosphatidylcholine aa C32:1,Phosphatidylcholine aa C34:1,Phosphatidylcholine aa C34:2,Phosphatidylcholine aa C34:3,Phosphatidylcholine aa C34:4,Phosphatidylcholine aa C36:1,Phosphatidylcholine aa C36:2,Phosphatidylcholine aa C36:4,Phosphatidylcholine aa C38:4,Phosphatidylcholine aa C38:6,Phosphatidylcholine aa C40:6,Proline,Proline betaine,Propionylcarnitine,Putrescine,Sarcosine,Serine,Serotonin,Spermidine,Sphingomyelin C16:0,Sphingomyelin C18:0,Sphingomyelin C18:1,Sphingomyelin C24:1,Succinic acid,Taurine,Tauro-muricholic acids,Taurocholic acid,Tetradecanoylcarnitine,Threonine,trans-4-Hydroxyproline,Trigonelline,Trimethylamine N-oxide,Tryptophan,Tyrosine,Valerylcarnitine,Valine,Xanthine
JHOP-05707,AngII,COL,1.2902,0.8158,0.7106,1.1539,1.0135,1.131,1.0072,1.0079,1.055,0.9227,1.1392,1.2059,0.8095,1.2376,0.977,0.4941,0.9628,1.1514,1.042,1.2452,0.4541,0.8462,0.3977,0.6425,0.8593,0.7128,0.5726,0.7359,1.095,0.8092,0.7035,0.879,0.4187,0.9122,1.2069,0.8115,0.7576,0.3571,1.1614,1.2694,0.9723,1.7632,0.5869,2.1481,1.0248,1.1844,0.6604,0.8524,1.013,1.0908,1.0049,0.9538,1.0875,1.1223,0.961,1.2889,0.9565,1.1496,1.0482,0.4509,0.5416,0.46,0.9248,0.652,0.8656,1.0222,1.0011,1.0085,0.9064,0.9829,0.7705,0.6657,0.9393,1.015,0.9316,0.7393,1.0408,0.9403,1.0867,1.1855,0.8434,0.8253,1.2021,0.6331,0.9327,1.1524,1.162,1.0512,1.4138,1.1189,1.0003,0.7297,1.0159,0.2612,0.3808,0.5587,1.0775,0.7661,0.5369,5.2458,1.1243,1.005,0.6794,0.9489,0.6907
JHOP-05708,AngII,COL,1.4512,0.5749,1.2079,1.1835,0.9792,0.9233,0.9863,1.0353,1.1528,1.6423,0.929,1.1528,1.0235,1.3945,0.9189,0.9849,1.2332,1.1456,0.9125,0.7881,0.9296,0.8592,0.8401,0.1914,0.8694,0.7777,1.0479,0.6387,1.0114,0.9852,1.0016,0.9708,0.7645,1.735,1.1911,1.0451,1.0991,0.6986,1.1358,1.2912,0.9144,1.0368,13.9953,3.3022,0.7541,1.1658,0.819,1.151,0.8035,0.9918,0.949,1.2721,1.3016,1.3268,1.1959,1.4486,0.8936,1.6606,0.9863,0.7652,0.7117,0.8692,1.3243,0.953,1.0613,0.9485,1.3401,2.1111,1.0874,1.2887,1.0116,0.7458,0.8606,1.1435,1.1757,1.0079,1.2365,1.0823,1.2647,1.3483,1.8202,1.2846,0.7678,1.0405,1.2945,2.6268,2.0909,1.1482,1.7992,1.1681,1.0631,0.9699,1.438,0.8029,1.1014,0.9959,0.8557,0.7147,1.0331,6.3592,0.9992,0.8957,0.511,0.6544,10.0511
JHOP-05709,Sham,GF,0.6248,0.6445,1.0864,0.809,0.3778,0.9661,1.122,0.9405,0.8717,0.4503,0.6625,0.9948,2.1811,0.9246,0.9408,1.3099,0.7444,0.9408,0.6298,0.7407,1.4976,1.6124,1.4895,1.0502,1.91,2.317,2.3572,1.0624,0.9886,1.3106,1.1991,1.1168,0.8511,0.595,0.757,0.7878,0.7141,1.406,1.012,0.2663,0.9398,0.5536,0.4157,0.0024,1.2034,0.9396,0.7178,0.89,0.978,0.9358,0.8556,0.8964,0.8263,0.7347,1.0037,0.851,0.6802,0.7287,1.8043,2.466,1.3551,1.4589,0.7144,1.1962,0.9855,1.0055,0.8996,0.9494,0.9586,0.8317,1.0176,1.2981,1.0284,0.9921,1.1027,1.4207,0.7753,0.6897,0.7923,1.0678,1.1602,2.0253,0.488,2.2646,1.1891,1.099,0.5216,0.8737,0.9859,0.8931,0.6219,1.4958,0.7863,2.7884,1.5934,1.2954,1.1099,1.1101,1.8282,0.0966,1.006,1.5962,1.401,1.1482,0.5255
JHOP-05710,Sham,GF,0.4954,0.7627,1.258,1.118,1.4072,1.2072,0.6129,1.0909,1.0592,0.545,0.8915,0.8395,3.6494,0.9624,0.9251,0.9738,0.9976,1.0124,0.8812,0.3992,1.698,0.8352,0.2757,0.6119,0.743,0.7221,0.645,0.9433,0.5006,0.5732,0.532,0.5758,0.5117,0.8368,0.8251,0.9465,1.0318,1.5221,1.0998,1.223,0.9601,0.7927,4.667,0.0031,1.218,1.2243,0.8426,1.0747,1.109,1.0309,0.9123,0.9353,0.8169,0.7858,0.9045,0.8544,0.8421,1.1991,1.2121,2.031,0.6006,1.1069,0.9133,1.3796,1.0145,1.1596,0.7945,0.9699,0.8699,0.811,0.9132,1.073,0.7931,0.9052,1.0021,1.1629,0.8343,0.7229,0.7817,1.0715,1.1404,2.0067,0.8165,2.5189,1.0669,1.8905,1.0068,1.1029,1.3665,1.1568,0.7462,1.6586,0.9841,1.0955,0.9728,1.2037,1.1661,0.9762,1.5023,0.1713,1.3887,1.2872,1.7596,1.22,2.6618
JHOP-05711,Sham,GF,0.6133,1.5105,1.1888,0.7545,0.957,1.4302,0.9178,0.9921,1.0383,0.7024,1.0904,0.6449,0.9416,0.7687,0.6132,1.0234,0.6172,1.0915,0.6513,0.8141,1.594,0.9927,0.745,0.4139,1.0908,0.9519,0.8454,0.9272,0.9184,1.044,0.8668,0.9161,1.4112,0.6822,1.0026,0.9104,1.2097,1.7151,0.691,1.2921,1.1953,1.027,0.1779,0.0017,1.3247,0.8502,0.5089,0.7779,1.3366,1.1881,0.8234,0.8058,0.8653,0.9335,0.8229,0.8879,0.9031,0.5003,0.8916,0.9525,1.108,1.1626,0.983,1.7186,0.9688,0.9944,0.72,0.903,0.9177,0.8798,0.8238,0.8882,0.7111,0.8507,0.8753,0.8716,0.9493,0.8622,0.949,0.7805,0.5377,0.6577,0.5692,1,0.9224,0.1797,0.5821,1.2148,1.5953,1.3669,0.8751,0.7706,0.7681,1.4538,1.743,1.5587,1.0781,0.8003,0.6853,0.0346,1.1834,1.1018,1.2974,1.1671,0.0619
JHOP-05712,Sham,GF,1.0003,1.2768,1.0565,0.8871,1.1222,0.7892,0.9311,0.6994,0.888,1.4528,0.93,0.721,0.4644,0.7728,0.9946,0.9631,1.0577,0.908,0.9373,0.8188,1.1847,1.9391,2.238,1.2664,2.5521,2.6506,2.065,2.0944,1.1459,1.0148,1.1098,1.0292,1.6661,1.2106,0.8692,1.0885,0.9233,0.9602,0.754,1.1084,1.0572,0.4413,1.5984,0.0017,1.0733,0.562,1.5558,1.1588,1.2051,0.6924,0.9951,1.1648,1.0179,0.8763,0.8859,0.9605,1.3385,1.2891,0.7986,0.7767,1.1481,0.7726,0.8384,0.9899,0.6862,0.9256,0.9496,0.8962,1.2548,1.0414,0.988,1.1884,1.2478,0.9368,0.9207,0.8368,1.0178,1.138,1.0032,0.7514,0.6505,0.8274,0.9591,0.7287,0.9261,0.52,1.043,0.8964,0.8068,0.939,1.1284,0.989,1.1812,1.5315,1.0272,0.8251,0.7844,1.0786,0.7134,0.0205,0.7742,0.7992,0.6389,1.0876,1.0259
JHOP-05713,Sham,GF,1.0546,1.2829,1.2689,0.9957,1.2611,1.2129,0.7655,0.8425,0.9748,1.2635,1.1422,1.0415,1.5271,0.8346,1.1784,0.8045,1.1769,0.8484,1.063,1.0021,1.6837,0.5073,0.2757,0.1914,0.415,0.6563,0.5342,0.9152,0.6782,0.8724,0.5335,0.6978,1.3441,1.4551,1.0315,1.2204,1.3243,1.2905,0.6737,0.9632,1.0142,0.9815,4.7869,0.0017,0.9978,0.6799,1.8235,1.1127,1.3394,0.8797,0.6887,1.0193,0.8711,0.7089,0.8896,1.0309,0.8673,1.4768,0.7687,1.0475,0.7651,1.4496,1.1921,1.4777,0.8817,1.1324,0.8793,1.133,0.8931,0.9177,0.9197,0.991,0.8233,0.7237,0.9391,0.8579,0.9822,0.8842,0.9363,1.0179,0.9003,2.2427,1.557,1.5388,1.188,1.4409,1.3438,0.9468,1.1249,1.0664,0.811,1.5622,1.3298,7.7071,4.2196,1.4462,0.8866,0.9438,1.2186,0.0205,0.9701,0.8651,1.1988,1.1206,3.635
JHOP-05714,Sham,GF,1.8156,1.0715,1.2192,0.9842,0.7512,1.0339,1.1786,0.9664,1.0361,0.9675,1.0357,0.8181,2.672,0.7382,1.8613,1.0666,1.0437,0.8938,1.3314,0.4773,2.0802,1.4833,1.1599,0.5488,0.956,1.3483,1.2199,1.8249,0.9637,1.1403,0.9343,1.0777,1.3569,1.1448,0.8614,1.3212,1.3848,1.5567,0.6031,0.4273,0.9536,0.6185,0.4766,0.0032,1.3811,0.9887,2.3169,1.1766,1.4166,1.0082,0.9897,0.9278,0.7467,0.8092,1.0031,1.0251,1.0065,1.138,1.2673,1.6088,1.1455,2.1344,1.3076,1.6294,1.2238,1.2017,0.8662,1.0296,0.968,1.0171,0.9884,1.0268,0.9913,0.7965,0.9232,0.9926,1.0785,1.074,0.9972,1.355,0.6656,1.7758,1.4031,2.2656,1.5556,0.6166,0.8508,0.86,0.9709,0.8394,0.9566,1.9578,1.1453,3.8218,2.3166,2.2415,1.0082,1.2265,1.0912,0.134,0.9386,1.5264,1.6704,1.3708,0.5025
JHOP-05715,AngII,GF,0.6212,1.0248,1.0927,0.8488,1.1464,1.0986,1.4924,1.0373,0.888,0.6822,1.0004,0.6462,0.6096,0.7762,0.7774,0.8255,0.4901,1.0515,0.6006,0.9979,0.6914,0.8158,0.7419,0.6292,0.9105,1.0375,0.7375,1.2171,1.5235,1.4317,1.3361,1.5488,0.9263,0.6223,0.8256,0.9119,0.8066,1.0073,0.8308,1.2056,1.1902,1.4015,1.0324,0.0017,0.98,1.5899,0.4866,0.678,0.9861,1.171,0.6767,0.6539,0.8076,0.7631,0.7673,0.8279,0.565,0.4793,0.9833,1.3417,1.3325,0.6873,0.7253,1.0101,1.1859,0.9432,0.6268,0.752,0.7241,0.7903,0.8062,0.8489,0.5728,0.7959,0.8413,0.7849,0.885,0.7474,0.791,0.9521,0.6064,0.7152,0.7235,0.4915,0.9541,1.1093,0.5234,0.8495,1.0141,0.9462,0.6307,0.5398,0.6517,1.5799,1.199,0.8198,1.0665,0.8437,1.0562,0.0489,1.2662,0.9794,1.1127,1.0511,0.9366
JHOP-05716,AngII,GF,0.601,1.1115,0.9851,0.7015,0.6467,0.8117,0.9928,0.9124,0.9429,0.9474,0.7858,0.6843,0.5865,1.0107,1.0054,0.5685,0.6311,1.0006,0.8357,1.5436,0.6969,0.4708,0.2757,0.224,0.5209,0.5268,0.4517,0.8166,0.9268,0.7805,0.8081,0.9277,0.5771,0.835,0.9113,1.0019,0.5638,1.0171,0.8102,2.08,1.2867,0.6255,0.6172,0.003,0.8825,1.0998,0.5024,0.669,0.7239,1.033,0.7471,0.6747,0.8031,0.8078,0.7307,0.9749,0.5477,0.3678,0.9633,1.1461,0.8055,0.542,0.6548,0.8147,0.8162,0.7559,0.8343,0.6578,0.827,0.8173,0.7466,0.697,0.4233,0.7673,0.6851,0.6751,0.9435,0.7592,0.8373,0.8312,0.6865,0.6547,0.8671,0.845,0.9106,1.9683,0.797,0.9512,0.8657,0.9831,0.6479,0.5755,0.7397,0.9336,0.7925,0.6049,0.9485,1.0238,0.8436,0.0218,1.1006,0.947,0.893,0.8903,0.411
JHOP-05717,AngII,GF,1.4574,0.7855,1.0968,0.7467,0.5871,0.7892,1.2786,1.0741,1.0086,0.7374,0.9996,0.6741,0.5281,1.0737,0.6006,0.8704,0.6084,1.153,0.5293,1.13,0.4761,0.9772,1.4808,1.1092,1.5205,1.7319,1.3968,0.8965,1.093,0.9665,0.9984,1.2381,0.6746,0.7665,0.7581,1.0662,0.5489,0.8699,0.747,1.5884,0.8191,1.2995,0.2238,0.0017,0.964,1.4267,0.4028,0.6289,0.9415,0.9844,0.8043,0.6857,0.9209,0.9085,0.8046,0.9518,0.5648,0.2898,0.9977,1.3306,0.9784,0.5201,0.5605,0.7337,0.8618,0.8308,0.5847,0.8061,0.8454,0.8547,0.7885,0.8032,0.4898,0.7818,0.9338,0.8397,0.9288,0.8042,0.8981,0.7773,0.8775,0.6011,0.6282,1.3659,0.9991,0.1257,0.8215,0.9167,1.1305,1.0169,0.6131,0.6749,0.7222,1.0664,1.3782,0.5185,1.1357,1.1054,1.4856,0.0532,1.1993,1.0315,0.8302,0.8727,0.1522
JHOP-05718,AngII,GF,0.7709,0.9752,0.8103,1.6617,0.7754,0.8759,0.5321,1.118,2.223,1.1064,0.9353,1.5672,1.5994,1.3223,0.7471,0.8991,0.9702,1.1152,1.3747,0.2258,0.858,1.059,1.4984,1.2731,1.65,1.6304,1.5524,1.459,0.6039,0.6725,0.5169,0.5479,0.4104,1.2765,0.9857,1.3267,0.8121,0.8063,0.8796,0.5737,1.5802,0.6195,0.2737,0.0074,1.1995,1.1491,1.0813,0.9253,1.3295,0.9261,0.7844,1.0967,0.9451,0.9359,1.0686,0.8832,0.8854,0.5481,1.4229,2.0956,0.5808,0.9978,0.5967,0.82,1.2843,1.5196,1.2202,0.7827,1.032,0.6946,0.883,1.2004,1.0126,0.8391,0.9341,1.2328,0.7307,0.6029,0.6084,1.7024,1.879,1.2834,1.487,0.653,1.7672,0.2936,0.8848,0.79,0.6332,0.7282,0.4763,1.011,0.7642,174.641,62.6933,1.11,1.0508,1.246,1.0837,0.3181,1.256,1.7781,1.8054,1.3257,0.1
