Rarefied	D1	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D2	D20	D21	D22	D23	D24	D25	D26	D27	D3	D4	D5	D6	D7	D8	D9
Firmicutes gen. [Erysipelatoclostridium/Clostridioides]	0	0	0	0	0	0	0	1	1	0	0	0	32	11	56	0	0	0	0	0	0	0	0	0	0	0	1
Firmicutes gen. incertae sedis	2	17	2	0	2	1	2	0	4	0	0	3	0	0	0	0	2	1	0	0	4	2	0	6	5	25	10
Flavonifractor	2	2	5	13	0	1	1	0	3	1	0	0	30	16	11	0	0	0	0	0	1	1	0	7	10	2	1
Hungateiclostridiaceae gen. incertae sedis	4	2	0	0	1	1	2	2	3	0	0	4	0	0	0	0	1	1	1	1	0	12	1	0	0	22	2
Intestinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium	0	0	0	2	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	1	1	0	0
Lachnospiraceae gen. incertae sedis	38	91	3	4	4	1	6	11	66	30	11	95	0	0	0	5	16	4	4	9	29	31	120	16	12	57	91
Lactobacillus	135	85	378	254	115	60	120	85	13	182	236	120	112	35	22	164	196	276	114	155	188	109	158	259	217	73	78
Lactococcus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculaceae gen. incertae sedis	560	606	271	222	618	654	701	341	375	391	384	538	216	0	0	524	486	429	560	513	497	633	441	297	212	599	565
Muribaculum	30	18	0	0	50	37	24	112	66	0	0	17	0	0	0	25	13	7	24	20	9	20	7	0	0	39	13
Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter	3	2	0	0	1	3	1	1	1	0	0	1	0	0	0	3	2	2	2	2	5	4	1	1	0	12	7
Parabacteroides	0	0	0	0	0	0	0	26	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	2
Robinsoniella	0	0	0	1	0	0	0	0	0	0	0	0	6	1	7	0	0	0	0	0	0	0	0	0	1	0	0
Ruminococcaceae gen. incertae sedis	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
Senegalimassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned	21	136	2	2	211	275	169	6	13	14	8	2	1	396	230	12	9	12	5	8	2	17	13	1	5	141	218
